Origin,colYear,colMonth,AVG(ArrTime)
ABE,1990,1,1786.8000
ABE,1991,7,1446.5556
ABY,2006,1,1502.8261
AGS,1988,3,1585.2778
AGS,2003,9,1191.1364
ALB,1993,10,1399.3529
ATL,1994,6,1400.1176
ATL,1993,4,1483.6471
ATL,2004,6,1533.9167
ATL,1992,4,1406.7059
ATL,2005,12,1458.6522
ATL,2005,7,1375.4000
ATL,2005,2,1744.8182
ATL,2007,3,1633.4231
AUS,2008,4,1388.0870
AUS,1997,3,1214.6316
AUS,1995,7,1605.5000
AUS,1999,9,1435.4444
AUS,2000,8,1368.9500
AVL,1994,2,1459.1250
BHM,1994,11,1442.8235
BHM,1988,2,1409.8125
BOS,2005,9,1385.9565
BOS,1989,5,1605.8125
BOS,1997,5,1533.7778
BOS,1998,2,1398.0625
BUF,1997,12,1297.4444
BWI,1988,9,1545.1176
BWI,1990,12,1593.3529
BWI,1989,10,1451.0625
BWI,2006,12,1368.2083
CAE,1989,2,1466.6250
CAE,1998,10,1579.3889
CAE,1999,2,1546.6875
CHO,1987,10,1468.8824
CLE,2000,4,1577.4211
CLT,1991,9,1547.1250
CLT,1991,5,1591.6250
CLT,1996,3,1465.7222
CLT,1993,9,1365.8235
CLT,1988,1,1482.5294
CLT,1995,12,1454.4444
CLT,1997,10,1506.4737
CLT,1988,5,1565.1667
CLT,1996,5,1443.2222
CMH,2008,2,1236.8696
COS,1999,7,1561.2632
COS,1995,4,1501.5556
COS,1992,11,1659.6250
COS,1990,5,1346.8333
COS,1988,11,1422.5294
CRW,1995,11,1417.8824
CRW,1990,2,1264.9231
CVG,2005,6,1351.1200
CVG,1992,7,1678.3889
CVG,2003,5,1456.6667
CVG,2001,11,1565.3333
CVG,1992,9,1446.1176
DAL,1998,12,1404.2222
DAL,1990,8,1262.8333
DAL,1992,3,1616.2941
DAY,1990,3,1459.8889
DCA,1992,8,1690.1176
DCA,1993,3,1736.6471
DEN,1993,11,1408.8750
DEN,2008,9,1484.6818
DEN,2008,8,1630.3750
DFW,2003,11,1524.9524
DFW,2001,5,1308.0000
DFW,1996,10,1490.2778
DFW,1993,6,1468.6471
DFW,2001,8,1364.8182
DFW,2003,6,1532.7727
DTW,2003,7,1682.5455
DTW,2004,8,1630.6000
DTW,2005,3,1566.8400
ELP,1990,11,1451.3529
EVV,2002,2,1297.7143
EWR,2000,3,1447.6316
EWR,1998,4,1539.6667
EWR,1992,12,1637.1176
EWR,1988,4,1616.8824
FLL,1991,12,1475.6471
FLL,1994,3,1560.1176
FLL,2000,7,1479.3684
FLL,1989,9,1551.3529
FNT,2000,5,1524.1053
FSD,1999,4,1355.2778
FWA,1991,1,1487.2353
FWA,2007,6,1303.3846
FWA,2000,6,1534.8421
FWA,1996,6,1426.0588
GRR,1998,8,1286.9444
GRR,2006,11,1341.7826
GRR,1994,12,1682.5000
GSO,2000,2,1657.6111
GSO,2004,3,1482.7917
GSO,1998,5,1645.1667
GSO,1997,6,1577.2222
GSP,1999,12,1444.4211
GSP,1998,7,1425.4737
GSP,1996,1,1484.0000
HNL,2001,7,1836.6000
HNL,1996,7,1338.7368
HNL,2007,11,1533.5000
HNL,2007,9,1385.0833
HNL,2008,11,1402.0476
HOU,1990,7,1386.3889
HOU,1991,11,1510.6875
HSV,2005,1,1535.4783
IAD,2004,7,1422.5833
IAH,1990,10,1606.2222
IAH,1997,4,1541.3333
IAH,1998,11,1428.2778
IAH,2007,7,1336.5769
IAH,2007,4,1359.7083
IDA,2003,1,1329.1905
IND,2000,10,1784.7000
IND,1995,2,1579.8824
ISP,1994,4,1566.6471
ITO,2000,11,1450.2632
JAC,1993,12,1723.2941
JFK,1988,7,1579.4444
KOA,2008,6,1549.4000
LAN,1997,9,1532.7222
LAN,1996,9,1541.0000
LAS,2002,11,1524.0000
LAS,2000,9,1655.7778
LAX,2001,4,1463.2222
LAX,2001,9,1656.0000
LAX,2003,12,1541.6364
LAX,2007,2,1532.0870
LAX,2004,12,1556.2000
LAX,2004,10,1544.1250
LAX,2003,4,1586.4762
LAX,2006,6,1449.4583
LAX,2003,10,1437.6818
LAX,2001,1,1407.0000
LAX,1993,7,1406.5556
LAX,2006,8,1548.4000
LEX,2005,4,1320.5417
LGA,2002,12,1485.8235
LGA,2008,10,1381.0909
LGA,1994,10,1520.1667
LIT,1991,10,1467.3333
LNK,1988,8,1608.5556
MAF,1987,12,1400.6111
MCN,2004,5,1422.0833
MCO,1997,7,1372.4211
MCO,1998,6,1432.0000
MCO,2008,12,1730.9091
MCO,2002,3,1388.3889
MDW,2005,11,1438.5909
MDW,1994,1,1718.5000
MEM,1994,9,1521.9412
MEM,2008,1,1544.0417
MEM,1990,6,1641.1111
MGM,1992,2,1328.5333
MIA,2002,4,1340.3529
MIA,2001,2,1340.2222
MIA,2001,12,1420.8333
MKE,1993,8,1342.8750
MLB,1991,6,1581.1765
MLU,1995,3,1492.7222
MRY,1994,8,1562.3158
MRY,2004,2,1634.6364
MSN,1989,4,1613.9412
MSN,2001,10,1582.3333
MSN,2001,3,1737.7778
MSP,2002,10,1641.7222
MSP,2003,8,1385.3182
MSP,1999,1,1449.0000
MYR,1999,8,1459.9474
OGG,2004,11,1629.9091
OGG,2000,12,1506.6316
OGG,2007,12,1506.1600
OKC,1990,9,1528.7222
ORD,2007,10,1678.6000
ORD,1990,4,1400.8824
ORD,2006,10,1689.0400
ORD,2002,6,1532.0556
ORD,1998,3,1356.2222
ORD,2007,8,1504.6000
ORF,1988,10,1537.5882
OTZ,1997,2,1430.5000
OXR,2004,4,1397.3913
PBI,1989,8,1652.4706
PDX,1991,3,1398.2941
PDX,1989,1,1499.4706
PHL,2002,7,1512.8421
PHL,1993,2,1493.3125
PHL,2006,9,1405.8696
PHX,2006,2,1365.7143
PHX,1994,5,1730.2941
PHX,1999,11,1575.9444
PHX,1996,2,1274.1250
PHX,2002,8,1649.3684
PIT,1996,11,1555.8235
PIT,1992,5,1526.4118
PIT,1991,2,1710.9286
PIT,1999,10,1312.9500
PIT,1989,6,1525.6250
PIT,1997,1,1329.2222
PIT,1992,1,1502.7059
PSP,2007,5,1473.6800
PUB,1991,8,1634.9444
PVD,2005,5,1583.0833
RDU,1999,6,1634.8235
RDU,1989,7,1640.2941
RDU,1992,6,1575.7647
RIC,1995,8,1718.0000
RNO,1996,8,1483.2778
RNO,1998,1,1603.1111
RNO,1993,1,1340.8125
ROA,1995,9,1430.8824
ROC,1996,12,1467.5789
RST,1989,11,1451.8125
SAN,2006,3,1481.6250
SAN,2004,9,1319.7083
SAN,2003,2,1403.3158
SAN,2002,1,1646.2000
SAN,1991,4,1552.2941
SAN,2008,7,1320.0400
SAN,2000,1,1488.4444
SAT,1992,10,1462.7222
SAT,1987,11,1431.4706
SAV,1993,5,1589.2941
SBP,2005,8,1489.8000
SBP,2006,7,1682.5200
SDF,1997,8,1569.5000
SEA,2002,5,1475.3333
SEA,1996,4,1481.8889
SEA,1995,1,1604.0588
SFO,2003,3,1380.6818
SFO,1995,10,1653.3333
SGF,2008,3,1447.0833
SHV,2001,6,1621.2000
SIT,2008,5,1744.4167
SJC,2006,5,1491.6250
SLC,2004,1,1420.0870
SPN,1988,6,1468.9412
SPN,1989,12,1498.1176
SPS,2006,4,1521.9167
SRQ,1988,12,1166.3529
STL,1995,6,1576.3529
STT,2005,10,1593.4583
STT,1994,7,1746.7059
SYR,1999,5,1472.1579
TOL,1997,11,1659.1176
TUS,1995,5,1341.5000
TXK,2002,9,1597.9412
TYS,1999,3,1750.5789
WRG,1989,3,1397.8750
WRG,1998,9,1417.6111
YUM,2007,1,1626.1250
